TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
droga dla rowerow;2;73.6164336078;0;0;0;0;0;126.56491705093254;17.030775888283525;51.13646119818769;
droga dla rowerow;2;73.6164336078;-1;3;0;3;73.6164336074606;126.3030141272322;17.03163207892045;51.13607685412398;
strefa ruchu uspokojonego 20 i 30 km/h;2;76.0756365002;0;0;0;0;0;237.53009792237663;16.96082943332668;51.110419074185074;
strefa ruchu uspokojonego 20 i 30 km/h;2;76.0756365002;-1;5;0;5;76.0756364998431;237.25307657105265;16.95991026752007;51.11005508769643;
strefa ruchu uspokojonego 20 i 30 km/h;2;75.3107503443;0;0;0;0;0;168.4981583002379;16.96007744961841;51.11138189558237;
strefa ruchu uspokojonego 20 i 30 km/h;2;75.3107503443;-1;9;0;9;75.31075034541922;165.1662918929482;16.960485163115322;51.11076589451137;
strefa ruchu uspokojonego 20 i 30 km/h;2;62.4992272644;0;0;0;0;0;242.71595617715343;16.96007744961841;51.11138189558237;
strefa ruchu uspokojonego 20 i 30 km/h;2;62.4992272644;-1;7;0;7;62.499227265045235;330.71233968162005;16.959523364765207;51.11170490287126;
strefa ruchu uspokojonego 20 i 30 km/h;2;41.2902479199;0;0;0;0;0;243.90948144028346;16.960579623968638;51.11157599922869;
strefa ruchu uspokojonego 20 i 30 km/h;2;41.2902479199;-1;2;0;2;41.290247919569346;238.46832108654377;16.96007744961841;51.11138189558237;
